geo,year,pop
AL01,2014,844921
AL01,2015,836448
AL01,2016,830981
AL01,2017,826904
AL01,2018,819793
AL01,2019,813758
AL01,2020,804689
AL01,2021,797955
AL01,2022,783970
AL01,2023,771020
AL02,2014,1111160
AL02,2015,1124817
AL02,2016,1130587
AL02,2017,1146183
AL02,2018,1162544
AL02,2019,1170142
AL02,2020,1176240
AL02,2021,1178435
AL02,2022,1178623
AL02,2023,1177987
AL03,2014,936313
AL03,2015,924531
AL03,2016,914024
AL03,2017,903504
AL03,2018,887987
AL03,2019,878527
AL03,2020,865026
AL03,2021,853351
AL03,2022,830999
AL03,2023,812778
ALXX,2018,0
ALXX,2019,0
ALXX,2020,0
AT11,2014,287416
AT11,2015,288356
AT11,2016,291011
AT11,2017,291942
AT11,2018,292675
AT11,2019,293433
AT11,2020,294436
AT11,2021,296010
AT11,2022,297583
AT11,2023,301250
AT12,2014,1625485
AT12,2015,1636778
AT12,2016,1653691
AT12,2017,1665753
AT12,2018,1670668
AT12,2019,1677542
AT12,2020,1684287
AT12,2021,1690879
AT12,2022,1698796
AT12,2023,1718373
AT13,2014,1766746
AT13,2015,1797337
AT13,2016,1840226
AT13,2017,1867582
AT13,2018,1888776
AT13,2019,1897491
AT13,2020,1911191
AT13,2021,1920949
AT13,2022,1931593
AT13,2023,1982097
AT21,2014,555881
AT21,2015,557641
AT21,2016,560482
AT21,2017,561077
AT21,2018,560898
AT21,2019,560939
AT21,2020,561293
AT21,2021,562089
AT21,2022,564513
AT21,2023,568984
AT22,2014,1215246
AT22,2015,1221570
AT22,2016,1232012
AT22,2017,1237298
AT22,2018,1240214
AT22,2019,1243052
AT22,2020,1246395
AT22,2021,1247077
AT22,2022,1252922
AT22,2023,1265198
AT31,2014,1425422
AT31,2015,1437251
AT31,2016,1453948
AT31,2017,1465045
AT31,2018,1473576
AT31,2019,1482095
AT31,2020,1490279
AT31,2021,1495608
AT31,2022,1505140
AT31,2023,1522825
AT32,2014,534270
AT32,2015,538575
AT32,2016,545815
AT32,2017,549263
AT32,2018,552579
AT32,2019,555221
AT32,2020,558410
AT32,2021,560710
AT32,2022,562606
AT32,2023,568346
AT33,2014,722038
AT33,2015,728826
AT33,2016,739139
AT33,2017,746153
AT33,2018,751140
AT33,2019,754705
AT33,2020,757634
AT33,2021,760105
AT33,2022,764102
AT33,2023,771304
AT34,2014,375282
AT34,2015,378592
AT34,2016,384147
AT34,2017,388752
AT34,2018,391741
AT34,2019,394297
AT34,2020,397139
AT34,2021,399237
AT34,2022,401674
AT34,2023,406395
BE10,2014,1172751
BE10,2015,1184101
BE10,2016,1201285
BE10,2017,1199095
BE10,2018,1205492
BE10,2019,1215289
BE10,2020,1223364
BE10,2021,1226329
BE10,2022,1228655
BE10,2023,1253178
BE21,2014,1806634
BE21,2015,1817033
BE21,2016,1828927
BE21,2017,1838863
BE21,2018,1849523
BE21,2019,1860470
BE21,2020,1873095
BE21,2021,1879318
BE21,2022,1890627
BE21,2023,1915921
BE22,2014,857844
BE22,2015,861380
BE22,2016,866970
BE22,2017,869664
BE22,2018,872739
BE22,2019,875842
BE22,2020,880602
BE22,2021,883228
BE22,2022,888913
BE22,2023,898619
BE23,2014,1471126
BE23,2015,1479049
BE23,2016,1489084
BE23,2017,1498483
BE23,2018,1506232
BE23,2019,1516284
BE23,2020,1526486
BE23,2021,1533876
BE23,2022,1545469
BE23,2023,1563346
BE24,2014,1108408
BE24,2015,1114590
BE24,2016,1122600
BE24,2017,1130644
BE24,2018,1138546
BE24,2019,1146643
BE24,2020,1156470
BE24,2021,1163186
BE24,2022,1173956
BE24,2023,1188079
BE25,2014,1177935
BE25,2015,1180957
BE25,2016,1184418
BE25,2017,1188407
BE25,2018,1192254
BE25,2019,1196995
BE25,2020,1202352
BE25,2021,1205101
BE25,2022,1210822
BE25,2023,1222004
BE31,2014,391609
BE31,2015,394344
BE31,2016,397745
BE31,2017,399735
BE31,2018,401508
BE31,2019,404270
BE31,2020,406794
BE31,2021,408325
BE31,2022,410619
BE31,2023,413959
BE32,2014,1334423
BE32,2015,1337780
BE32,2016,1341267
BE32,2017,1342053
BE32,2018,1343756
BE32,2019,1346082
BE32,2020,1350295
BE32,2021,1349861
BE32,2022,1354667
BE32,2023,1361026
BE33,2014,1095661
BE33,2015,1098903
BE33,2016,1103490
BE33,2017,1106039
BE33,2018,1108371
BE33,2019,1110068
BE33,2020,1113943
BE33,2021,1113324
BE33,2022,1116087
BE33,2023,1122360
BE34,2014,278219
BE34,2015,280261
BE34,2016,283257
BE34,2017,284617
BE34,2018,285010
BE34,2019,286685
BE34,2020,289606
BE34,2021,291730
BE34,2022,294400
BE34,2023,297654
BE35,2014,486230
BE35,2015,488876
BE35,2016,492074
BE35,2017,494127
BE35,2018,495158
BE35,2019,496891
BE35,2020,499433
BE35,2021,500489
BE35,2022,503408
BE35,2023,506650
BG31,2014,801343
BG31,2015,785188
BG31,2016,768967
BG31,2017,753059
BG31,2018,736788
BG31,2019,720754
BG31,2020,704576
BG31,2021,696328
BG31,2022,682036
BG31,2023,671502
BG32,2014,814339
BG32,2015,797965
BG32,2016,781422
BG32,2017,765086
BG32,2018,748308
BG32,2019,731277
BG32,2020,714075
BG32,2021,705241
BG32,2022,694972
BG32,2023,686334
BG33,2014,924847
BG33,2015,910699
BG33,2016,895980
BG33,2017,881513
BG33,2018,866648
BG33,2019,851079
BG33,2020,835432
BG33,2021,832326
BG33,2022,827640
BG33,2023,823884
BG34,2014,1043896
BG34,2015,1031248
BG34,2016,1017950
BG34,2017,1004948
BG34,2018,991373
BG34,2019,977482
BG34,2020,963654
BG34,2021,959331
BG34,2022,953641
BG34,2023,948410
BG41,2014,2103080
BG41,2015,2092375
BG41,2016,2080898
BG41,2017,2069800
BG41,2018,2058448
BG41,2019,2046676
BG41,2020,2034417
BG41,2021,2024977
BG41,2022,2018500
BG41,2023,2016554
BG42,2014,1429948
BG42,2015,1412215
BG42,2016,1393542
BG42,2017,1375112
BG42,2018,1355853
BG42,2019,1336909
BG42,2020,1317121
BG42,2021,1313914
BG42,2022,1305695
BG42,2023,1301026
CH01,2014,1545817
CH01,2015,1570594
CH01,2016,1593839
CH01,2017,1613522
CH01,2018,1629841
CH01,2019,1642580
CH01,2020,1654751
CH01,2021,1669608
CH01,2022,1685625
CH01,2023,1701827
CH02,2014,1808480
CH02,2015,1826251
CH02,2016,1842251
CH02,2017,1859557
CH02,2018,1868886
CH02,2019,1877154
CH02,2020,1886584
CH02,2021,1895693
CH02,2022,1907491
CH02,2023,1918746
CH03,2014,1104353
CH03,2015,1117158
CH03,2016,1128723
CH03,2017,1142156
CH03,2018,1151919
CH03,2019,1161105
CH03,2020,1171157
CH03,2021,1181776
CH03,2022,1191939
CH03,2023,1202435
CH04,2014,1425538
CH04,2015,1446354
CH04,2016,1466424
CH04,2017,1487969
CH04,2018,1504346
CH04,2019,1520968
CH04,2020,1539275
CH04,2021,1553423
CH04,2022,1564662
CH04,2023,1579967
CH05,2014,1134781
CH05,2015,1144572
CH05,2016,1153485
CH05,2017,1162684
CH05,2018,1169358
CH05,2019,1176321
CH05,2020,1183813
CH05,2021,1193069
CH05,2022,1203715
CH05,2023,1217015
CH06,2014,774123
CH06,2015,782374
CH06,2016,790458
CH06,2017,799287
CH06,2018,806071
CH06,2019,813056
CH06,2020,818962
CH06,2021,825745
CH06,2022,833178
CH06,2023,841372
CH07,2014,346539
CH07,2015,350363
CH07,2016,351946
CH07,2017,354375
CH07,2018,353709
CH07,2019,353343
CH07,2020,351491
CH07,2021,350986
CH07,2022,352181
CH07,2023,354023
CY00,2014,860032
CY00,2015,860846
CY00,2016,863764
CY00,2017,869878
CY00,2018,878601
CY00,2019,890194
CY00,2020,902429
CY00,2021,914476
CY00,2022,929764
CY00,2023,949084
CZ01,2014,1243201
CZ01,2015,1259079
CZ01,2016,1267449
CZ01,2017,1280508
CZ01,2018,1294513
CZ01,2019,1308632
CZ01,2020,1324277
CZ01,2021,1259413
CZ01,2022,1275406
CZ01,2023,1357326
CZ02,2014,1302336
CZ02,2015,1315299
CZ02,2016,1326876
CZ02,2017,1338982
CZ02,2018,1352795
CZ02,2019,1369332
CZ02,2020,1385141
CZ02,2021,1372588
CZ02,2022,1386824
CZ02,2023,1439391
CZ03,2014,1210176
CZ03,2015,1212423
CZ03,2016,1214450
CZ03,2017,1217411
CZ03,2018,1221012
CZ03,2019,1226805
CZ03,2020,1233982
CZ03,2021,1212780
CZ03,2022,1215754
CZ03,2023,1257691
CZ04,2014,1125429
CZ04,2015,1123265
CZ04,2016,1120654
CZ04,2017,1118126
CZ04,2018,1116766
CZ04,2019,1115685
CZ04,2020,1115629
CZ04,2021,1086606
CZ04,2022,1082108
CZ04,2023,1105932
CZ05,2014,1506503
CZ05,2015,1506813
CZ05,2016,1507209
CZ05,2017,1508527
CZ05,2018,1510726
CZ05,2019,1513693
CZ05,2020,1517999
CZ05,2021,1496140
CZ05,2022,1494671
CZ05,2023,1533205
CZ06,2014,1680287
CZ06,2015,1682748
CZ06,2016,1684500
CZ06,2017,1687764
CZ06,2018,1692123
CZ06,2019,1696941
CZ06,2020,1701802
CZ06,2021,1685220
CZ06,2022,1688593
CZ06,2023,1731977
CZ07,2014,1222655
CZ07,2015,1220972
CZ07,2016,1219394
CZ07,2017,1217623
CZ07,2018,1216234
CZ07,2019,1215413
CZ07,2020,1214570
CZ07,2021,1198649
CZ07,2022,1195362
CZ07,2023,1212333
CZ08,2014,1221832
CZ08,2015,1217676
CZ08,2016,1213311
CZ08,2017,1209879
CZ08,2018,1205886
CZ08,2019,1203299
CZ08,2020,1200539
CZ08,2021,1183440
CZ08,2022,1177989
CZ08,2023,1189674
DE11,2014,3972881
DE11,2015,4008288
DE11,2016,4069533
DE11,2017,4098278
DE11,2018,4126688
DE11,2019,4143418
DE11,2020,4154223
DE11,2021,4151094
DE11,2022,4150949
DE11,2023,4142738
DE12,2014,2702831
DE12,2015,2721266
DE12,2016,2761977
DE12,2017,2779314
DE12,2018,2795783
DE12,2019,2805129
DE12,2020,2810854
DE12,2021,2807601
DE12,2022,2812482
DE12,2023,2832121
DE13,2014,2174500
DE13,2015,2191622
DE13,2016,2224535
DE13,2017,2239734
DE13,2018,2254674
DE13,2019,2264469
DE13,2020,2271351
DE13,2021,2276924
DE13,2022,2285156
DE13,2023,2304974
DE14,2014,1781066
DE14,2015,1795468
DE14,2016,1823573
DE14,2017,1834567
DE14,2018,1846280
DE14,2019,1856517
DE14,2020,1863966
DE14,2021,1867424
DE14,2022,1876055
DE14,2023,1887888
DE21,2014,4469342
DE21,2015,4519979
DE21,2016,4588944
DE21,2017,4633323
DE21,2018,4649534
DE21,2019,4686163
DE21,2020,4710865
DE21,2021,4719716
DE21,2022,4729243
DE21,2023,4705040
DE22,2014,1189153
DE22,2015,1197558
DE22,2016,1212119
DE22,2017,1219397
DE22,2018,1230037
DE22,2019,1238528
DE22,2020,1244169
DE22,2021,1247063
DE22,2022,1253441
DE22,2023,1244102
DE23,2014,1077991
DE23,2015,1082761
DE23,2016,1092339
DE23,2017,1098378
DE23,2018,1104407
DE23,2019,1109269
DE23,2020,1112102
DE23,2021,1112267
DE23,2022,1116741
DE23,2023,1107750
DE24,2014,1056365
DE24,2015,1055955
DE24,2016,1059358
DE24,2017,1062394
DE24,2018,1066840
DE24,2019,1067482
DE24,2020,1065371
DE24,2021,1062085
DE24,2022,1061929
DE24,2023,1051868
DE25,2014,1707376
DE25,2015,1715195
DE25,2016,1738686
DE25,2017,1750059
DE25,2018,1759643
DE25,2019,1770401
DE25,2020,1775169
DE25,2021,1775704
DE25,2022,1777143
DE25,2023,1782419
DE26,2014,1297992
DE26,2015,1298849
DE26,2016,1306048
DE26,2017,1309209
DE26,2018,1313375
DE26,2019,1317124
DE26,2020,1317619
DE26,2021,1317507
DE26,2022,1320513
DE26,2023,1310561
DE27,2014,1806025
DE27,2015,1821271
DE27,2016,1846020
DE27,2017,1857991
DE27,2018,1873368
DE27,2019,1887754
DE27,2020,1899442
DE27,2021,1905841
DE27,2022,1917979
DE27,2023,1903481
DE30,2014,3421829
DE30,2015,3469849
DE30,2016,3520031
DE30,2017,3574830
DE30,2018,3613495
DE30,2019,3644826
DE30,2020,3669491
DE30,2021,3664088
DE30,2022,3677472
DE30,2023,3632853
DE40,2014,2449193
DE40,2015,2457872
DE40,2016,2484826
DE40,2017,2494648
DE40,2018,2504040
DE40,2019,2511917
DE40,2020,2521893
DE40,2021,2531071
DE40,2022,2537868
DE40,2023,2545159
DE50,2014,657391
DE50,2015,661888
DE50,2016,671489
DE50,2017,678753
DE50,2018,681032
DE50,2019,682986
DE50,2020,681202
DE50,2021,680130
DE50,2022,676463
DE50,2023,695758
DE60,2014,1746342
DE60,2015,1762791
DE60,2016,1787408
DE60,2017,1810438
DE60,2018,1830584
DE60,2019,1841179
DE60,2020,1847253
DE60,2021,1852478
DE60,2022,1853935
DE60,2023,1832675
DE71,2014,3822479
DE71,2015,3863818
DE71,2016,3922369
DE71,2017,3951234
DE71,2018,3978050
DE71,2019,3998724
DE71,2020,4019961
DE71,2021,4026618
DE71,2022,4026564
DE71,2023,4001146
DE72,2014,1023150
DE72,2015,1029020
DE72,2016,1040091
DE72,2017,1043643
DE72,2018,1045807
DE72,2019,1047262
DE72,2020,1048646
DE72,2021,1048740
DE72,2022,1050765
DE72,2023,1036748
DE73,2014,1199796
DE73,2015,1201050
DE73,2016,1213712
DE73,2017,1218211
DE73,2018,1219405
DE73,2019,1219823
DE73,2020,1219473
DE73,2021,1217796
DE73,2022,1217688
DE73,2023,1199039
DE80,2014,1596505
DE80,2015,1599138
DE80,2016,1612362
DE80,2017,1610674
DE80,2018,1611119
DE80,2019,1609675
DE80,2020,1608138
DE80,2021,1610774
DE80,2022,1611160
DE80,2023,1576049
DE91,2014,1574936
DE91,2015,1579754
DE91,2016,1598164
DE91,2017,1595609
DE91,2018,1595734
DE91,2019,1596396
DE91,2020,1594929
DE91,2021,1590577
DE91,2022,1591424
DE91,2023,1589602
DE92,2014,2099079
DE92,2015,2108413
DE92,2016,2132290
DE92,2017,2139976
DE92,2018,2144120
DE92,2019,2149805
DE92,2020,2148238
DE92,2021,2147704
DE92,2022,2149859
DE92,2023,2117034
DE93,2014,1670199
DE93,2015,1677715
DE93,2016,1699969
DE93,2017,1703945
DE93,2018,1706464
DE93,2019,1710914
DE93,2020,1716448
DE93,2021,1722474
DE93,2022,1731531
DE93,2023,1716631
DE94,2014,2446345
DE94,2015,2460857
DE94,2016,2496176
DE94,2017,2506155
DE94,2018,2516457
DE94,2019,2525333
DE94,2020,2533993
DE94,2021,2542666
DE94,2022,2554217
DE94,2023,2559680
DEA1,2014,5088748
DEA1,2015,5108290
DEA1,2016,5173623
DEA1,2017,5190790
DEA1,2018,5198820
DEA1,2019,5202321
DEA1,2020,5207457
DEA1,2021,5200090
DEA1,2022,5197679
DEA1,2023,5222540
DEA2,2014,4333015
DEA2,2015,4361724
DEA2,2016,4422371
DEA2,2017,4439416
DEA2,2018,4454228
DEA2,2019,4468904
DEA2,2020,4478847
DEA2,2021,4475530
DEA2,2022,4472956
DEA2,2023,4461422
DEA3,2014,2574148
DEA3,2015,2580664
DEA3,2016,2614229
DEA3,2017,2619376
DEA3,2018,2621153
DEA3,2019,2623619
DEA3,2020,2624625
DEA3,2021,2624719
DEA3,2022,2631237
DEA3,2023,2640307
DEA4,2014,2024392
DEA4,2015,2029648
DEA4,2016,2057996
DEA4,2017,2054205
