nuts2_id,year,sex,pop
AL01,2012,F,427466
AL01,2013,F,421710
AL01,2014,F,416084
AL01,2015,F,410586
AL01,2016,F,406682
AL01,2017,F,405835
AL01,2018,F,405598
AL01,2019,F,404201
AL01,2020,F,399599
AL01,2021,F,396799
AL01,2022,F,390886
AL01,2023,F,385462
AL02,2012,F,544197
AL02,2013,F,550173
AL02,2014,F,556405
AL02,2015,F,562609
AL02,2016,F,564402
AL02,2017,F,574010
AL02,2018,F,585530
AL02,2019,F,590623
AL02,2020,F,594008
AL02,2021,F,596005
AL02,2022,F,597622
AL02,2023,F,598531
AL03,2012,F,472571
AL03,2013,F,465310
AL03,2014,F,458338
AL03,2015,F,451402
AL03,2016,F,446057
AL03,2017,F,443205
AL03,2018,F,440587
AL03,2019,F,438009
AL03,2020,F,431735
AL03,2021,F,426955
AL03,2022,F,418024
AL03,2023,F,410871
ALXX,2014,F,0
ALXX,2015,F,0
ALXX,2016,F,0
ALXX,2017,F,0
ALXX,2018,F,0
ALXX,2019,F,0
ALXX,2020,F,0
AT11,2000,F,141501
AT11,2001,F,141390
AT11,2002,F,141588
AT11,2003,F,141524
AT11,2004,F,141557
AT11,2005,F,142176
AT11,2006,F,142599
AT11,2007,F,143039
AT11,2008,F,143433
AT11,2009,F,144528
AT11,2010,F,145017
AT11,2011,F,145579
AT11,2012,F,146224
AT11,2013,F,146694
AT11,2014,F,146980
AT11,2015,F,147246
AT11,2016,F,148052
AT11,2017,F,148416
AT11,2018,F,149016
AT11,2019,F,149487
AT11,2020,F,150097
AT11,2021,F,150724
AT11,2022,F,151557
AT11,2023,F,153737
AT12,2000,F,786173
AT12,2001,F,788045
AT12,2002,F,790836
AT12,2003,F,792494
AT12,2004,F,796297
AT12,2005,F,801598
AT12,2006,F,806600
AT12,2007,F,810409
AT12,2008,F,814117
AT12,2009,F,818188
AT12,2010,F,819527
AT12,2011,F,821187
AT12,2012,F,823091
AT12,2013,F,824527
AT12,2014,F,828087
AT12,2015,F,832975
AT12,2016,F,839555
AT12,2017,F,845249
AT12,2018,F,847971
AT12,2019,F,851644
AT12,2020,F,855113
AT12,2021,F,858326
AT12,2022,F,861800
AT12,2023,F,873142
AT13,2000,F,821167
AT13,2001,F,821538
AT13,2002,F,827386
AT13,2003,F,836431
AT13,2004,F,844495
AT13,2005,F,854243
AT13,2006,F,863321
AT13,2007,F,867847
AT13,2008,F,872918
AT13,2009,F,876798
AT13,2010,F,881314
AT13,2011,F,887369
AT13,2012,F,893751
AT13,2013,F,905130
AT13,2014,F,916150
AT13,2015,F,929704
AT13,2016,F,947141
AT13,2017,F,958458
AT13,2018,F,968011
AT13,2019,F,972488
AT13,2020,F,978900
AT13,2021,F,982942
AT13,2022,F,986724
AT13,2023,F,1012972
AT21,2000,F,290001
AT21,2001,F,289296
AT21,2002,F,289418
AT21,2003,F,288677
AT21,2004,F,288273
AT21,2005,F,288628
AT21,2006,F,288599
AT21,2007,F,288526
AT21,2008,F,288531
AT21,2009,F,288294
AT21,2010,F,287422
AT21,2011,F,286798
AT21,2012,F,286351
AT21,2013,F,285872
AT21,2014,F,285797
AT21,2015,F,286371
AT21,2016,F,287033
AT21,2017,F,287516
AT21,2018,F,287410
AT21,2019,F,287455
AT21,2020,F,287605
AT21,2021,F,287622
AT21,2022,F,288500
AT21,2023,F,290513
AT22,2000,F,609151
AT22,2001,F,608651
AT22,2002,F,610634
AT22,2003,F,610621
AT22,2004,F,611839
AT22,2005,F,613698
AT22,2006,F,615312
AT22,2007,F,615797
AT22,2008,F,616339
AT22,2009,F,616814
AT22,2010,F,616649
AT22,2011,F,617069
AT22,2012,F,617483
AT22,2013,F,617975
AT22,2014,F,619404
AT22,2015,F,621265
AT22,2016,F,624786
AT22,2017,F,627019
AT22,2018,F,628161
AT22,2019,F,629219
AT22,2020,F,630823
AT22,2021,F,630927
AT22,2022,F,632874
AT22,2023,F,639683
AT31,2000,F,701606
AT31,2001,F,702929
AT31,2002,F,705153
AT31,2003,F,706590
AT31,2004,F,708602
AT31,2005,F,711962
AT31,2006,F,714118
AT31,2007,F,715355
AT31,2008,F,716203
AT31,2009,F,716999
AT31,2010,F,717201
AT31,2011,F,717375
AT31,2012,F,718572
AT31,2013,F,720064
AT31,2014,F,722883
AT31,2015,F,727840
AT31,2016,F,733791
AT31,2017,F,738861
AT31,2018,F,742757
