nuts2_id,year,pop
AL01,2012,1722116
AL01,2013,1706168
AL01,2014,1689842
AL01,2015,1672896
AL01,2016,1661962
AL01,2017,1653808
AL01,2018,1639586
AL01,2019,1627516
AL01,2020,1609378
AL01,2021,1595910
AL01,2022,1567940
AL01,2023,1542040
AL02,2012,2167536
AL02,2013,2194516
AL02,2014,2222320
AL02,2015,2249634
AL02,2016,2261174
AL02,2017,2292366
AL02,2018,2325088
AL02,2019,2340284
AL02,2020,2352480
AL02,2021,2356870
AL02,2022,2357246
AL02,2023,2355974
AL03,2012,1916364
AL03,2013,1894856
AL03,2014,1872626
AL03,2015,1849062
AL03,2016,1828048
AL03,2017,1807008
AL03,2018,1775974
AL03,2019,1757054
AL03,2020,1730052
AL03,2021,1706702
AL03,2022,1661998
AL03,2023,1625556
ALXX,2014,0
ALXX,2015,0
ALXX,2016,0
ALXX,2017,0
ALXX,2018,0
ALXX,2019,0
ALXX,2020,0
AT11,2000,552452
AT11,2001,551912
AT11,2002,553346
AT11,2003,553084
AT11,2004,553584
AT11,2005,556064
AT11,2006,558254
AT11,2007,560124
AT11,2008,561954
AT11,2009,565554
AT11,2010,567394
AT11,2011,569162
AT11,2012,571564
AT11,2013,573382
AT11,2014,574832
AT11,2015,576712
AT11,2016,582022
AT11,2017,583884
AT11,2018,585350
AT11,2019,586866
AT11,2020,588872
AT11,2021,592020
AT11,2022,595166
AT11,2023,602500
AT12,2000,3070166
AT12,2001,3078832
AT12,2002,3089334
AT12,2003,3098538
AT12,2004,3114582
AT12,2005,3137898
AT12,2006,3161002
AT12,2007,3177134
AT12,2008,3191006
AT12,2009,3205916
AT12,2010,3211794
AT12,2011,3218948
AT12,2012,3228910
AT12,2013,3237184
AT12,2014,3250970
AT12,2015,3273556
AT12,2016,3307382
AT12,2017,3331506
AT12,2018,3341336
AT12,2019,3355084
AT12,2020,3368574
AT12,2021,3381758
AT12,2022,3397592
AT12,2023,3436746
AT13,2000,3097074
AT13,2001,3107912
AT13,2002,3142246
AT13,2003,3185692
AT13,2004,3220820
AT13,2005,3265138
AT13,2006,3304898
AT13,2007,3322492
AT13,2008,3342442
AT13,2009,3360270
AT13,2010,3379990
AT13,2011,3405710
AT13,2012,3434168
AT13,2013,3482492
AT13,2014,3533492
AT13,2015,3594674
AT13,2016,3680452
AT13,2017,3735164
AT13,2018,3777552
AT13,2019,3794982
AT13,2020,3822382
AT13,2021,3841898
AT13,2022,3863186
AT13,2023,3964194
AT21,2000,1121392
AT21,2001,1119142
AT21,2002,1119866
AT21,2003,1117246
AT21,2004,1116052
AT21,2005,1117852
AT21,2006,1118554
AT21,2007,1118786
AT21,2008,1119430
AT21,2009,1118924
AT21,2010,1115996
AT21,2011,1113436
AT21,2012,1112054
AT21,2013,1110946
AT21,2014,1111762
AT21,2015,1115282
AT21,2016,1120964
AT21,2017,1122154
AT21,2018,1121796
AT21,2019,1121878
AT21,2020,1122586
AT21,2021,1124178
AT21,2022,1129026
AT21,2023,1137968
AT22,2000,2365860
AT22,2001,2364882
AT22,2002,2376234
AT22,2003,2378630
AT22,2004,2384336
AT22,2005,2393560
AT22,2006,2401708
AT22,2007,2404966
AT22,2008,2407402
AT22,2009,2409590
AT22,2010,2410090
AT22,2011,2413222
AT22,2012,2417392
AT22,2013,2421942
AT22,2014,2430492
AT22,2015,2443140
AT22,2016,2464024
AT22,2017,2474596
AT22,2018,2480428
AT22,2019,2486104
AT22,2020,2492790
AT22,2021,2494154
AT22,2022,2505844
AT22,2023,2530396
AT31,2000,2740070
AT31,2001,2746268
AT31,2002,2755604
AT31,2003,2765064
AT31,2004,2774976
AT31,2005,2789452
AT31,2006,2800574
AT31,2007,2807326
AT31,2008,2811524
AT31,2009,2817238
AT31,2010,2818506
AT31,2011,2820444
AT31,2012,2827732
AT31,2013,2836996
AT31,2014,2850844
AT31,2015,2874502
AT31,2016,2907896
AT31,2017,2930090
AT31,2018,2947152
AT31,2019,2964190
AT31,2020,2980558
AT31,2021,2991216
AT31,2022,3010280
AT31,2023,3045650
AT32,2000,1025708
AT32,2001,1029702
AT32,2002,1034100
AT32,2003,1034168
AT32,2004,1039382
AT32,2005,1044738
AT32,2006,1049840
AT32,2007,1052096
AT32,2008,1051888
AT32,2009,1053398
AT32,2010,1053460
AT32,2011,1055772
AT32,2012,1059408
AT32,2013,1063796
AT32,2014,1068540
AT32,2015,1077150
AT32,2016,1091630
AT32,2017,1098526
AT32,2018,1105158
AT32,2019,1110442
AT32,2020,1116820
AT32,2021,1121420
AT32,2022,1125212
AT32,2023,1136692
AT33,2000,1334918
AT33,2001,1342984
AT33,2002,1351402
AT33,2003,1358914
AT33,2004,1367278
AT33,2005,1377908
AT33,2006,1388506
AT33,2007,1394506
AT33,2008,1399176
AT33,2009,1405004
AT33,2010,1409324
AT33,2011,1415034
AT33,2012,1423162
AT33,2013,1431776
AT33,2014,1444076
AT33,2015,1457652
AT33,2016,1478278
AT33,2017,1492306
AT33,2018,1502280
AT33,2019,1509410
AT33,2020,1515268
AT33,2021,1520210
AT33,2022,1528204
AT33,2023,1542608
AT34,2000,696732
AT34,2001,700258
AT34,2002,705148
AT34,2003,709210
AT34,2004,714136
AT34,2005,720108
AT34,2006,725260
AT34,2007,728538
AT34,2008,731156
AT34,2009,734112
AT34,2010,736732
AT34,2011,738600
AT34,2012,741852
AT34,2013,745206
AT34,2014,750564
AT34,2015,757184
AT34,2016,768294
AT34,2017,777504
AT34,2018,783482
AT34,2019,788594
AT34,2020,794278
AT34,2021,798474
AT34,2022,803348
AT34,2023,812790
BE10,2000,1918636
BE10,2001,1928810
BE10,2002,1956768
BE10,2003,1984082
BE10,2004,1999798
BE10,2005,2013498
BE10,2006,2037608
BE10,2007,2062430
BE10,2008,2096982
BE10,2009,2137064
BE10,2010,2179076
BE10,2011,2273556
BE10,2012,2302634
BE10,2013,2330416
BE10,2014,2345502
BE10,2015,2368202
BE10,2016,2402570
BE10,2017,2398190
BE10,2018,2410984
BE10,2019,2430578
BE10,2020,2446728
BE10,2021,2452658
BE10,2022,2457310
BE10,2023,2506356
BE21,2000,3287944
BE21,2001,3291304
BE21,2002,3304900
BE21,2003,3322238
BE21,2004,3337624
BE21,2005,3353716
BE21,2006,3376986
BE21,2007,3401140
BE21,2008,3431414
BE21,2009,3462348
BE21,2010,3489724
BE21,2011,3546534
BE21,2012,3574980
