freq,unit,age,sex,geo,value,year
A,YR,Y_LT1,F,AL01,80.2,2019
A,YR,Y_LT1,F,AL01,79.5,2020
A,YR,Y_LT1,F,AL02,83.4,2019
A,YR,Y_LT1,F,AL02,81.5,2020
A,YR,Y_LT1,F,AL03,78.9,2019
A,YR,Y_LT1,F,AL03,78.2,2020
A,YR,Y_LT1,F,AT11,83.1,2012
A,YR,Y_LT1,F,AT11,83.8,2013
A,YR,Y_LT1,F,AT11,83.5,2014
A,YR,Y_LT1,F,AT11,83.9,2015
A,YR,Y_LT1,F,AT11,83.6,2016
A,YR,Y_LT1,F,AT11,83.9,2017
A,YR,Y_LT1,F,AT11,83.7,2018
A,YR,Y_LT1,F,AT11,84.4,2019
A,YR,Y_LT1,F,AT11,83.7,2020
A,YR,Y_LT1,F,AT11,83.6,2021
A,YR,Y_LT1,F,AT11,83.5,2022
A,YR,Y_LT1,F,AT11,84.3,2023
A,YR,Y_LT1,F,AT12,83,2012
A,YR,Y_LT1,F,AT12,83.6,2013
A,YR,Y_LT1,F,AT12,83.7,2014
A,YR,Y_LT1,F,AT12,83.3,2015
A,YR,Y_LT1,F,AT12,83.7,2016
A,YR,Y_LT1,F,AT12,83.7,2017
A,YR,Y_LT1,F,AT12,83.7,2018
A,YR,Y_LT1,F,AT12,83.8,2019
A,YR,Y_LT1,F,AT12,83.6,2020
A,YR,Y_LT1,F,AT12,83,2021
A,YR,Y_LT1,F,AT12,83.4,2022
A,YR,Y_LT1,F,AT12,84,2023
A,YR,Y_LT1,F,AT13,82.5,2012
A,YR,Y_LT1,F,AT13,82.6,2013
A,YR,Y_LT1,F,AT13,82.8,2014
A,YR,Y_LT1,F,AT13,82.9,2015
A,YR,Y_LT1,F,AT13,83,2016
A,YR,Y_LT1,F,AT13,82.9,2017
A,YR,Y_LT1,F,AT13,82.7,2018
A,YR,Y_LT1,F,AT13,83.4,2019
A,YR,Y_LT1,F,AT13,82.5,2020
A,YR,Y_LT1,F,AT13,82.4,2021
A,YR,Y_LT1,F,AT13,82.4,2022
A,YR,Y_LT1,F,AT13,83.2,2023
A,YR,Y_LT1,F,AT21,83.9,2012
A,YR,Y_LT1,F,AT21,84.3,2013
A,YR,Y_LT1,F,AT21,84.3,2014
A,YR,Y_LT1,F,AT21,84.2,2015
A,YR,Y_LT1,F,AT21,84.7,2016
A,YR,Y_LT1,F,AT21,84.3,2017
A,YR,Y_LT1,F,AT21,84.2,2018
A,YR,Y_LT1,F,AT21,84.7,2019
A,YR,Y_LT1,F,AT21,84,2020
A,YR,Y_LT1,F,AT21,84.4,2021
A,YR,Y_LT1,F,AT21,83.9,2022
A,YR,Y_LT1,F,AT21,84.7,2023
A,YR,Y_LT1,F,AT22,83.7,2012
A,YR,Y_LT1,F,AT22,84.4,2013
A,YR,Y_LT1,F,AT22,84.3,2014
A,YR,Y_LT1,F,AT22,83.9,2015
A,YR,Y_LT1,F,AT22,84.5,2016
A,YR,Y_LT1,F,AT22,84.2,2017
A,YR,Y_LT1,F,AT22,84.7,2018
A,YR,Y_LT1,F,AT22,84.7,2019
A,YR,Y_LT1,F,AT22,83.8,2020
A,YR,Y_LT1,F,AT22,84.2,2021
A,YR,Y_LT1,F,AT22,84,2022
A,YR,Y_LT1,F,AT22,84.4,2023
A,YR,Y_LT1,F,AT31,84.2,2012
A,YR,Y_LT1,F,AT31,83.9,2013
A,YR,Y_LT1,F,AT31,84.5,2014
A,YR,Y_LT1,F,AT31,83.9,2015
A,YR,Y_LT1,F,AT31,84.8,2016
A,YR,Y_LT1,F,AT31,84.4,2017
A,YR,Y_LT1,F,AT31,84.5,2018
A,YR,Y_LT1,F,AT31,84.4,2019
A,YR,Y_LT1,F,AT31,84,2020
A,YR,Y_LT1,F,AT31,84.1,2021
A,YR,Y_LT1,F,AT31,84.1,2022
A,YR,Y_LT1,F,AT31,84.4,2023
A,YR,Y_LT1,F,AT32,84.5,2012
A,YR,Y_LT1,F,AT32,84.6,2013
A,YR,Y_LT1,F,AT32,85,2014
A,YR,Y_LT1,F,AT32,84.8,2015
A,YR,Y_LT1,F,AT32,84.8,2016
A,YR,Y_LT1,F,AT32,84.7,2017
A,YR,Y_LT1,F,AT32,85.1,2018
A,YR,Y_LT1,F,AT32,85,2019
