ctry,year,pop_raw,pop_h,rel_diff
AL,2014,2892394,2892394,0
AL,2015,2885796,2885796,0
AL,2016,2875592,2875592,0
AL,2017,2876591,2876591,0
AL,2018,2870324,2870324,0
AL,2019,2862427,2862427,0
AL,2020,2845955,2845955,0
AL,2021,2829741,2829741,0
AL,2022,2793592,2793592,0
AL,2023,2761785,2761785,0
AT,2014,8507786,8507786,0
AT,2015,8584926,8584926,0
AT,2016,8700471,8700471,0
AT,2017,8772865,8772865,0
AT,2018,8822267,8822267,0
AT,2019,8858775,8858775,0
AT,2020,8901064,8901064,0
AT,2021,8932664,8932664,0
AT,2022,8978929,8978929,0
AT,2023,9104772,9104772,0
BE,2014,11180840,11180840,0
BE,2015,11237274,11237274,0
BE,2016,11311117,11311117,0
BE,2017,11351727,11351727,0
BE,2018,11398589,11398589,0
BE,2019,11455519,11455519,0
BE,2020,11522440,11522440,0
BE,2021,11554767,11554767,0
BE,2022,11617623,11617623,0
BE,2023,11742796,11742796,0
BG,2014,7117453,7117453,0
BG,2015,7029690,7029690,0
BG,2016,6938759,6938759,0
BG,2017,6849518,6849518,0
BG,2018,6757418,6757418,0
BG,2019,6664177,6664177,0
BG,2020,6569275,6569275,0
BG,2021,6532117,6532117,0
BG,2022,6482484,6482484,0
BG,2023,6447710,6447710,0
CH,2014,8139631,8139631,0
CH,2015,8237666,8237666,0
CH,2016,8327126,8327126,0
CH,2017,8419550,8419550,0
CH,2018,8484130,8484130,0
CH,2019,8544527,8544527,0
CH,2020,8606033,8606033,0
CH,2021,8670300,8670300,0
CH,2022,8738791,8738791,0
CH,2023,8815385,8815385,0
CY,2014,860032,860032,0
CY,2015,860846,860846,0
CY,2016,863764,863764,0
CY,2017,869878,869878,0
CY,2018,878601,878601,0
CY,2019,890194,890194,0
CY,2020,902429,902429,0
CY,2021,914476,914476,0
CY,2022,929764,929764,0
CY,2023,949084,949084,0
CZ,2014,10512419,10512419,0
CZ,2015,10538275,10538275,0
CZ,2016,10553843,10553843,0
CZ,2017,10578820,10578820,0
CZ,2018,10610055,10610055,0
CZ,2019,10649800,10649800,0
CZ,2020,10693939,10693939,0
CZ,2021,10494836,10494836,0
CZ,2022,10516707,10516707,0
CZ,2023,10827529,10827529,0
DE,2014,80767463,80767463,0
DE,2015,81197537,81197537,0
DE,2016,82175684,82175684,0
DE,2017,82521653,82521653,0
DE,2018,82792351,82792351,0
DE,2019,83019213,83019213,0
DE,2020,83166711,83166711,0
DE,2021,83155031,83155031,0
DE,2022,83237124,83237124,0
DE,2023,83118501,83118501,0
DK,2014,5627235,5627235,0
DK,2015,5659715,5659715,0
DK,2016,5707251,5707251,0
DK,2017,5748769,5748769,0
DK,2018,5781190,5781190,0
DK,2019,5806081,5806081,0
DK,2020,5822763,5822763,0
DK,2021,5840045,5840045,0
DK,2022,5873420,5873420,0
DK,2023,5932654,5932654,0
EE,2014,1315819,1315819,0
EE,2015,1314870,1314870,0
EE,2016,1315944,1315944,0
EE,2017,1315635,1315635,0
EE,2018,1319133,1319133,0
EE,2019,1324820,1324820,0
EE,2020,1328976,1328976,0
EE,2021,1330068,1330068,0
EE,2022,1331796,1331796,0
EE,2023,1365884,1365884,0
EF,2015,13769934,13769934,0
EF,2016,13911262,13911262,0
EF,2017,14054026,14054026,0
EF,2018,14166313,14166313,0
EF,2019,14268108,14268108,0
EF,2020,14376494,14376494,0
EF,2021,14469516,14469516,0
EF,2022,14579617,14579617,0
EF,2023,14731804,14731804,0
EL,2014,10926807,10926807,0
EL,2015,10858018,10858018,0
EL,2016,10783748,10783748,0
EL,2017,10768193,10768193,0
EL,2018,10741165,10741165,0
EL,2019,10724599,10724599,0
EL,2020,10718565,10718565,0
EL,2021,10678632,10678632,0
EL,2022,10459782,10459782,0
EL,2023,10413982,10413982,0
ES,2014,46495744,46495744,0
ES,2015,46425722,46425722,0
ES,2016,46418884,46418884,0
ES,2017,46497393,46497393,0
ES,2018,46645070,46645070,0
ES,2019,46918951,46918951,0
ES,2020,47318050,47318050,0
ES,2021,47400798,47400798,0
ES,2022,47486843,47486843,0
ES,2023,48085361,48085361,0
EU,2015,507764420,507764420,0
EU,2016,509366867,509366867,0
EU,2017,510499671,510499671,0
EU,2018,511560587,511560587,0
EU,2019,512782741,512782741,0
FI,2014,5451270,5451270,0
FI,2015,5471753,5471753,0
FI,2016,5487308,5487308,0
FI,2017,5503297,5503297,0
FI,2018,5513130,5513130,0
FI,2019,5517919,5517919,0
FI,2020,5525292,5525292,0
FI,2021,5533793,5533793,0
FI,2022,5548241,5548241,0
FI,2023,5563970,5563970,0
FR,2014,66165980,66165980,0
FR,2015,66458153,66458153,0
FR,2016,66638391,66638391,0
FR,2017,66809816,66809816,0
FR,2018,67026224,67026224,0
FR,2019,67290471,67290471,0
FR,2020,67473651,67473651,0
FR,2021,67728568,67728568,0
FR,2022,68091703,68091703,0
FR,2023,68277210,68277210,0
HR,2014,7058533,7058533,0
HR,2015,7004002,7004002,0
HR,2016,6927494,6927494,0
HR,2017,6845619,6845619,0
HR,2018,6741495,6741495,0
HR,2019,6670851,6670851,0
HR,2020,6617874,6617874,0
HR,2021,3893026,3893026,0
HR,2022,3862305,3862305,0
HR,2023,3850894,3850894,0
HU,2014,9850217,9850217,0
HU,2015,9815858,9815858,0
HU,2016,9779652,9779652,0
HU,2017,9739857,9739857,0
HU,2018,9713655,9713655,0
HU,2019,9700272,9700272,0
HU,2020,9689376,9689376,0
HU,2021,9651461,9651461,0
HU,2022,9610403,9610403,0
HU,2023,9599744,9599744,0
IE,2014,4637852,4637852,0
IE,2015,4677627,4677627,0
IE,2016,4726286,4726286,0
IE,2017,4799157,4799157,0
IE,2018,4855733,4855733,0
IE,2019,4940311,4940311,0
IE,2020,5012600,5012600,0
IE,2021,5066893,5066893,0
IE,2022,5154277,5154277,0
IE,2023,5271395,5271395,0
IS,2014,325671,325671,0
IS,2015,329100,329100,0
IS,2016,332529,332529,0
IS,2017,338349,338349,0
IS,2018,348450,348450,0
IS,2019,356991,356991,0
IS,2020,364134,364134,0
IS,2021,368792,368792,0
IS,2022,376248,376248,0
IS,2023,387758,387758,0
IT,2014,60345917,60345917,0
IT,2015,60295497,60295497,0
IT,2016,60163712,60163712,0
IT,2017,60066734,60066734,0
IT,2018,59937769,59937769,0
IT,2019,59816673,59816673,0
IT,2020,59641488,59641488,0
IT,2021,59236213,59236213,0
IT,2022,59030133,59030133,0
IT,2023,58997201,58997201,0
LI,2014,37129,37129,0
LI,2015,37366,37366,0
LI,2016,37622,37622,0
LI,2017,37810,37810,0
LI,2018,38114,38114,0
LI,2019,38378,38378,0
LI,2020,38747,38747,0
LI,2021,39055,39055,0
LI,2022,39308,39308,0
LI,2023,39677,39677,0
LT,2014,2947862,2947862,0
LT,2015,2926644,2926644,0
LT,2016,2895573,2895573,0
LT,2017,2859077,2859077,0
LT,2018,2826200,2826200,0
LT,2019,2812200,2812200,0
LT,2020,2809977,2809977,0
LT,2021,2810761,2810761,0
LT,2022,2805998,2805998,0
LT,2023,2857279,2857279,0
LU,2014,549680,549680,0
LU,2015,562958,562958,0
LU,2016,576249,576249,0
LU,2017,590667,590667,0
LU,2018,602005,602005,0
LU,2019,613894,613894,0
LU,2020,626108,626108,0
LU,2021,634730,634730,0
LU,2022,645397,645397,0
LU,2023,660809,660809,0
LV,2014,2001468,2001468,0
LV,2015,1986096,1986096,0
LV,2016,1968957,1968957,0
LV,2017,1950116,1950116,0
LV,2018,1934379,1934379,0
LV,2019,1919968,1919968,0
LV,2020,1907675,1907675,0
LV,2021,1893223,1893223,0
LV,2022,1875757,1875757,0
LV,2023,1883008,1883008,0
ME,2014,621521,621521,0
ME,2015,622099,622099,0
ME,2016,622218,622218,0
ME,2017,622387,622387,0
ME,2018,622359,622359,0
ME,2019,622182,622182,0
