center,beta,se,n,ci_lo,ci_hi
1997,-1.02815649064659,0.039046098335136,679,-1.10468684338346,-0.951626137909723
1998,-0.958196966407809,0.0494789534630857,692,-1.05517571519546,-0.861218217620161
1999,-0.94871557938502,0.050100746905247,705,-1.0469130433193,-0.850518115450735
2000,-0.925996782223753,0.054872095323259,764,-1.03354608905734,-0.818447475390165
2001,-0.974290970390581,0.041364006993689,824,-1.05536442409821,-0.89321751668295
2002,-0.888147908702828,0.0725794924861271,889,-1.03040371397564,-0.745892103430019
2003,-0.799221580963184,0.0744836092309204,954,-0.945209455055788,-0.65323370687058
2004,-0.707687322309529,0.0927136348955007,1010,-0.88940604670471,-0.525968597914347
2005,-0.833816595080155,0.0654947415636658,1023,-0.96218628854494,-0.70544690161537
2006,-0.903756712251881,0.0473907141494451,1038,-0.996642511984793,-0.810870912518968
2007,-0.764778981132161,0.0515791913517586,1045,-0.865874196181608,-0.663683766082714
2008,-0.681519084152432,0.0716425455090431,1052,-0.821938473350156,-0.541099694954708
2009,-0.685214633863668,0.0444814873137208,1061,-0.772398348998561,-0.598030918728775
2010,-0.790143936294377,0.0420898163491923,1065,-0.872639976338794,-0.70764789624996
2011,-0.902349830708291,0.032781914866673,1072,-0.96660238384697,-0.838097277569612
2012,-1.02514288627173,0.0319652385550276,1086,-1.08779475383959,-0.962491018703879
2013,-1.1236980972123,0.0294486240345457,1099,-1.18141740032001,-1.06597879410459
2014,-1.16307611113537,0.0302774444191577,1111,-1.22241990219692,-1.10373232007382
2015,-1.08828496340801,0.0477538926961279,1123,-1.18188259309242,-0.994687333723597
2016,-1.0135502946182,0.0557406214251788,1128,-1.12280191261155,-0.904298676624853
2017,-0.987423706556027,0.0676325944270753,1127,-1.11998359163309,-0.854863821478959
2018,-0.533477800042906,0.0871888235642132,1130,-0.704367894228764,-0.362587705857048
2019,-0.932432426277201,0.0349603547185819,1133,-1.00095472152562,-0.863910131028781
2020,-0.909910363947884,0.0271602114740377,1131,-0.963144378436998,-0.856676349458771
