center,beta,se,n,ci_lo,ci_hi
1997,-0.881185765231094,0.056324780416998,679,-0.99158233484841,-0.770789195613778
1998,-0.840646910318985,0.0573006071536922,692,-0.952956100340222,-0.728337720297748
1999,-0.80072088301252,0.0472106872730547,705,-0.893253830067707,-0.708187935957333
2000,-0.724603467234692,0.059061738688674,764,-0.840364475064493,-0.608842459404891
2001,-0.936639924071368,0.0621626575673879,824,-1.05847873290345,-0.814801115239288
2002,-0.923882626145482,0.0438898266462698,889,-1.00990668637217,-0.837858565918793
2003,-0.784413970129323,0.0734717758402192,954,-0.928418650776153,-0.640409289482493
2004,-0.64718447305961,0.0817386098309996,1010,-0.807392148328369,-0.48697679779085
2005,-0.775055741245242,0.045182777398523,1023,-0.863613984946347,-0.686497497544137
2006,-0.761178150171861,0.0344703704559649,1038,-0.828740076265552,-0.69361622407817
2007,-0.660856707204731,0.0513138622823691,1045,-0.761431877278175,-0.560281537131288
2008,-0.548341200643246,0.0576119446942965,1052,-0.661260612244067,-0.435421789042425
2009,-0.61971700413644,0.0372583944372182,1061,-0.692743457233387,-0.546690551039492
2010,-0.679930854500058,0.0451196869441703,1065,-0.768365440910632,-0.591496268089485
2011,-0.869744675675457,0.0385796871044917,1072,-0.945360862400261,-0.794128488950653
2012,-1.01816064704025,0.0377072486422952,1086,-1.09206685437915,-0.944254439701351
2013,-1.08933811030298,0.0398156082179937,1099,-1.16737670241024,-1.01129951819571
2014,-1.16476318062695,0.0391957394079247,1111,-1.24158682986648,-1.08793953138742
2015,-1.14060478610106,0.0489158867117692,1123,-1.23647992405612,-1.04472964814599
2016,-1.01230674799635,0.0567883166135166,1128,-1.12361184855884,-0.901001647433855
2017,-1.01889329713334,0.0867937360086145,1127,-1.18900901971022,-0.848777574556452
2018,-0.739176106105161,0.124709162076153,1130,-0.98360606377442,-0.494746148435901
2019,-1.04482231402697,0.0325187177979839,1133,-1.10855900091102,-0.981085627142924
2020,-0.997257489105915,0.0332658907926626,1131,-1.06245863505953,-0.932056343152296
