center,beta,se,n,ci_lo,ci_hi
1997,-0.201821551690776,0.00771060677473867,619,-0.216934340969264,-0.186708762412288
1998,-0.20830088518003,0.00871837326863668,629,-0.225388896786558,-0.191212873573502
1999,-0.225603745590936,0.0115493906473852,661,-0.24824055125981,-0.202966939922061
2000,-0.230172344614598,0.0143651482360813,731,-0.258328035157318,-0.202016654071879
2001,-0.195036371176451,0.0116953640353264,801,-0.217959284685691,-0.172113457667211
2002,-0.205363801869743,0.011209089607888,877,-0.227333617501203,-0.183393986238282
2003,-0.230288950049586,0.0140518656941625,952,-0.257830606810144,-0.202747293289027
2004,-0.239837022597492,0.0130977348562217,1007,-0.265508582915687,-0.214165462279298
2005,-0.23150392060275,0.0107081310910188,1018,-0.252491857541147,-0.210515983664354
2006,-0.185372734189547,0.0115880106322822,1028,-0.20808523502882,-0.162660233350274
2007,-0.183043102908127,0.00747335627143052,1030,-0.197690881200131,-0.168395324616123
2008,-0.182820525817421,0.00677975418190212,1033,-0.19610884401395,-0.169532207620893
2009,-0.176854975879075,0.00666914136177271,1039,-0.189926492948149,-0.16378345881
2010,-0.186004597219095,0.0084007977513836,1041,-0.202470160811807,-0.169539033626383
2011,-0.163907406439476,0.00793606934520311,1053,-0.179462102356074,-0.148352710522878
2012,-0.18397581315969,0.00855391310126954,1070,-0.200741482838178,-0.167210143481202
2013,-0.173180663143291,0.0182560973500835,1086,-0.208962613949455,-0.137398712337128
2014,-0.223112020778701,0.0293309744528144,1099,-0.280600730706217,-0.165623310851184
2015,-0.189734349310444,0.0297389005322457,1113,-0.248022594353646,-0.131446104267243
2016,-0.189229623141403,0.0327896105793493,1113,-0.253497259876928,-0.124961986405879
