center,beta,se,n,ci_lo,ci_hi,half_life
1997,-0.00264580274581934,0.000101861297459134,684,-0.00284545088883925,-0.00244615460279944,261.633189174647
1998,-0.00263196767668506,0.000110042781780842,694,-0.00284765152897551,-0.00241628382439461,263.01030044688
1999,-0.00285186099189301,0.000137871015234887,726,-0.00312208818175338,-0.00258163380203263,242.704091246586
2000,-0.0029468361541278,0.000177311219650978,796,-0.00329436614464372,-0.00259930616361189,234.870670249389
2001,-0.00256739439162909,0.000142148462881319,866,-0.00284600537887647,-0.0022887834043817,269.634073555166
2002,-0.00262838090362642,0.000140576284149321,942,-0.00290391042055909,-0.00235285138669375,263.369686117087
2003,-0.00291822837557274,0.000188050360633837,1017,-0.00328680708241506,-0.00254964966873042,237.176539314854
2004,-0.00307080545347384,0.000184631281072789,1072,-0.00343268276437651,-0.00270892814257118,225.374868400977
2005,-0.00291472497198036,0.000158190424074742,1083,-0.00322477820316685,-0.00260467174079386,237.462034693668
2006,-0.00239299081574492,0.000142785049160692,1093,-0.00267284951209988,-0.00211313211938997,289.310555401948
2007,-0.00234735182467655,0.0000924994295963455,1095,-0.00252865070668539,-0.00216605294266771,294.942293900964
2008,-0.00236593997895498,0.0000798362096688611,1098,-0.00252241894990595,-0.00220946100800401,292.62233644472
2009,-0.00226935120575089,0.0000845200396554261,1104,-0.00243501048347552,-0.00210369192802625,305.09177415965
2010,-0.00236042872720843,0.0000989810565185532,1106,-0.00255443159798479,-0.00216642585643206,293.306376130296
2011,-0.00208794441436472,0.000099315795914067,1118,-0.00228260337435629,-0.00189328545437315,331.62918386412
2012,-0.00228337670198195,0.000106669264930404,1135,-0.00249244846124554,-0.00207430494271836,303.215636908117
2013,-0.00220929937448747,0.000217869965528274,1151,-0.00263632450692288,-0.00178227424205205,313.394020515961
2014,-0.00280301990318571,0.000363016581567224,1164,-0.00351453240305747,-0.00209150740331395,246.939121848928
2015,-0.00239923733180969,0.000361060334653737,1178,-0.00310691558773102,-0.00169155907588837,288.556420069967
2016,-0.00244042768202813,0.000398242428581035,1178,-0.00322098284204696,-0.0016598725220093,283.68021451331
