year,mean_LE,sd_LE,p10,p50,p90,min,max
1995,75.9976377952756,3.26660506664294,70.48,77.4,79.1,67.7,79.8
1996,76.2948529411765,3.16605420633835,70.95,77.55,79.2,68,79.8
1997,76.6891304347826,2.99621865784797,71.97,77.8,79.6,69.5,80.3
1998,76.8804347826087,2.94504058429776,72.41,78.05,79.7,69.7,81.4
1999,77.0814285714286,2.86945174906026,72.49,78.1,79.9,70.4,80.4
2000,77.4228571428571,2.84049197423686,72.9,78.4,80.2,71,81
2001,77.913422818792,2.76627024041204,73.06,78.8,80.5,70.9,81.7
2002,77.8852791878173,2.6163412192866,73.6,78.6,80.4,70.2,81.9
2003,77.8969696969697,2.54468509696817,73.57,78.65,80.5,70.6,81.5
2004,78.2575609756098,2.91350875023318,73.18,79.3,80.96,70.9,82.1
2005,78.3404878048781,2.91610970975225,73.12,79.4,81,70.6,82.3
2006,78.8009756097561,2.99527389568742,73.54,79.8,81.66,70.6,82.5
2007,79.0233333333333,2.96021115458759,73.79,80.05,81.7,70.7,82.8
2008,79.2225352112676,2.84189664858776,74.4,80.2,81.9,71.7,82.9
2009,79.4575471698113,2.81697454973917,74.8,80.4,82.1,72.8,83.3
2010,79.7514150943396,2.81891846380009,75.1,80.7,82.5,72.6,84.1
2011,80.0453271028037,2.69925248485733,75.5,80.9,82.87,73,84.2
2012,80.0607476635514,2.63601837353324,75.4,80.8,82.77,72.9,84.2
2013,80.2968181818182,2.61085525685946,76.06,81,83,73.7,84.8
2014,80.6106194690266,2.67999545047237,76.25,81.35,83.25,73,84.9
2015,80.3435555555556,2.57646729654361,76.06,81.1,82.86,73.5,84.5
2016,80.7075221238938,2.57414254322516,76.55,81.4,83.5,73.3,85.2
2017,80.6774336283186,2.59573574370173,76.35,81.45,83.3,73.5,85.1
2018,80.7537777777778,2.64147828680883,76.34,81.5,83.6,73.6,85.5
2019,81.0733333333334,2.63515044298098,76.9,81.8,83.9,73.7,85.8
2020,80.1973684210526,2.85697108721516,75.5,81.25,82.8,71.8,84
2021,79.8860262008734,3.57073588405758,74.24,81.1,83.32,69.5,85.2
2022,80.3589285714286,2.69154309422289,76.3,81.1,83.2,72.3,85.2
