year,sex,n_regions,n_obs
1996,F,136,136
1997,F,138,138
1998,F,138,138
1999,F,140,140
2000,F,140,140
2001,F,149,149
2002,F,197,197
2003,F,198,198
2004,F,205,205
2005,F,205,205
2006,F,205,205
2007,F,210,210
2008,F,213,213
2009,F,212,212
2010,F,212,212
2011,F,214,214
2012,F,214,214
2013,F,220,220
2014,F,226,226
2015,F,225,225
2016,F,226,226
2017,F,226,226
2018,F,225,225
2019,F,226,226
2020,F,228,228
2021,F,229,229
2022,F,229,229
2023,F,229,229
1996,M,136,136
1997,M,138,138
1998,M,138,138
1999,M,140,140
2000,M,140,140
2001,M,149,149
2002,M,197,197
2003,M,198,198
2004,M,205,205
2005,M,205,205
2006,M,205,205
2007,M,210,210
2008,M,213,213
2009,M,212,212
2010,M,212,212
2011,M,214,214
2012,M,214,214
2013,M,220,220
2014,M,226,226
2015,M,225,225
2016,M,226,226
2017,M,226,226
2018,M,225,225
2019,M,226,226
2020,M,228,228
2021,M,229,229
2022,M,229,229
2023,M,229,229
1996,T,136,136
1997,T,138,138
1998,T,138,138
1999,T,140,140
2000,T,140,140
2001,T,149,149
2002,T,197,197
2003,T,198,198
2004,T,205,205
2005,T,205,205
2006,T,205,205
2007,T,210,210
2008,T,213,213
2009,T,212,212
2010,T,212,212
2011,T,214,214
2012,T,214,214
2013,T,220,220
2014,T,226,226
2015,T,225,225
2016,T,226,226
2017,T,226,226
2018,T,225,225
2019,T,226,226
2020,T,228,228
2021,T,229,229
2022,T,229,229
2023,T,229,229
1995,F,127,127
1995,M,127,127
1995,T,127,127
