geo,sex,n,years_min,years_max,n_years
AT11,F,28,1996,2023,28
AT11,M,28,1996,2023,28
AT11,T,28,1996,2023,28
AT12,F,28,1996,2023,28
AT12,M,28,1996,2023,28
AT12,T,28,1996,2023,28
AT13,F,28,1996,2023,28
AT13,M,28,1996,2023,28
AT13,T,28,1996,2023,28
AT21,F,28,1996,2023,28
AT21,M,28,1996,2023,28
AT21,T,28,1996,2023,28
AT22,F,28,1996,2023,28
AT22,M,28,1996,2023,28
AT22,T,28,1996,2023,28
AT31,F,28,1996,2023,28
AT31,M,28,1996,2023,28
AT31,T,28,1996,2023,28
AT32,F,28,1996,2023,28
AT32,M,28,1996,2023,28
AT32,T,28,1996,2023,28
AT33,F,28,1996,2023,28
AT33,M,28,1996,2023,28
AT33,T,28,1996,2023,28
AT34,F,28,1996,2023,28
AT34,M,28,1996,2023,28
AT34,T,28,1996,2023,28
BE10,F,29,1995,2023,29
BE10,M,29,1995,2023,29
BE10,T,29,1995,2023,29
BE21,F,29,1995,2023,29
BE21,M,29,1995,2023,29
BE21,T,29,1995,2023,29
BE22,F,29,1995,2023,29
BE22,M,29,1995,2023,29
BE22,T,29,1995,2023,29
BE23,F,29,1995,2023,29
BE23,M,29,1995,2023,29
BE23,T,29,1995,2023,29
BE24,F,29,1995,2023,29
BE24,M,29,1995,2023,29
BE24,T,29,1995,2023,29
BE25,F,29,1995,2023,29
BE25,M,29,1995,2023,29
BE25,T,29,1995,2023,29
BE31,F,29,1995,2023,29
BE31,M,29,1995,2023,29
BE31,T,29,1995,2023,29
BE32,F,29,1995,2023,29
BE32,M,29,1995,2023,29
BE32,T,29,1995,2023,29
BE33,F,29,1995,2023,29
BE33,M,29,1995,2023,29
BE33,T,29,1995,2023,29
BE34,F,29,1995,2023,29
BE34,M,29,1995,2023,29
BE34,T,29,1995,2023,29
BE35,F,29,1995,2023,29
BE35,M,29,1995,2023,29
BE35,T,29,1995,2023,29
BG31,F,27,1997,2023,27
BG31,M,27,1997,2023,27
BG31,T,27,1997,2023,27
BG32,F,27,1997,2023,27
BG32,M,27,1997,2023,27
BG32,T,27,1997,2023,27
BG33,F,27,1997,2023,27
BG33,M,27,1997,2023,27
BG33,T,27,1997,2023,27
BG34,F,27,1997,2023,27
BG34,M,27,1997,2023,27
BG34,T,27,1997,2023,27
BG41,F,27,1997,2023,27
BG41,M,27,1997,2023,27
BG41,T,27,1997,2023,27
BG42,F,27,1997,2023,27
BG42,M,27,1997,2023,27
BG42,T,27,1997,2023,27
CY00,F,29,1995,2023,29
CY00,M,29,1995,2023,29
CY00,T,29,1995,2023,29
CZ01,F,29,1995,2023,29
CZ01,M,29,1995,2023,29
CZ01,T,29,1995,2023,29
CZ02,F,29,1995,2023,29
CZ02,M,29,1995,2023,29
CZ02,T,29,1995,2023,29
CZ03,F,29,1995,2023,29
CZ03,M,29,1995,2023,29
CZ03,T,29,1995,2023,29
CZ04,F,29,1995,2023,29
CZ04,M,29,1995,2023,29
CZ04,T,29,1995,2023,29
CZ05,F,29,1995,2023,29
CZ05,M,29,1995,2023,29
CZ05,T,29,1995,2023,29
CZ06,F,29,1995,2023,29
CZ06,M,29,1995,2023,29
CZ06,T,29,1995,2023,29
CZ07,F,29,1995,2023,29
CZ07,M,29,1995,2023,29
CZ07,T,29,1995,2023,29
CZ08,F,29,1995,2023,29
CZ08,M,29,1995,2023,29
CZ08,T,29,1995,2023,29
DE11,F,22,2002,2023,22
DE11,M,22,2002,2023,22
DE11,T,22,2002,2023,22
DE12,F,22,2002,2023,22
DE12,M,22,2002,2023,22
DE12,T,22,2002,2023,22
DE13,F,22,2002,2023,22
DE13,M,22,2002,2023,22
DE13,T,22,2002,2023,22
DE14,F,22,2002,2023,22
DE14,M,22,2002,2023,22
DE14,T,22,2002,2023,22
DE21,F,22,2002,2023,22
DE21,M,22,2002,2023,22
DE21,T,22,2002,2023,22
DE22,F,22,2002,2023,22
DE22,M,22,2002,2023,22
DE22,T,22,2002,2023,22
DE23,F,22,2002,2023,22
DE23,M,22,2002,2023,22
DE23,T,22,2002,2023,22
DE24,F,22,2002,2023,22
DE24,M,22,2002,2023,22
DE24,T,22,2002,2023,22
DE25,F,22,2002,2023,22
DE25,M,22,2002,2023,22
DE25,T,22,2002,2023,22
DE26,F,22,2002,2023,22
DE26,M,22,2002,2023,22
DE26,T,22,2002,2023,22
DE27,F,22,2002,2023,22
DE27,M,22,2002,2023,22
DE27,T,22,2002,2023,22
DE30,F,22,2002,2023,22
DE30,M,22,2002,2023,22
DE30,T,22,2002,2023,22
DE40,F,22,2002,2023,22
DE40,M,22,2002,2023,22
DE40,T,22,2002,2023,22
DE50,F,22,2002,2023,22
DE50,M,22,2002,2023,22
DE50,T,22,2002,2023,22
DE60,F,22,2002,2023,22
DE60,M,22,2002,2023,22
DE60,T,22,2002,2023,22
DE71,F,22,2002,2023,22
DE71,M,22,2002,2023,22
DE71,T,22,2002,2023,22
DE72,F,22,2002,2023,22
DE72,M,22,2002,2023,22
DE72,T,22,2002,2023,22
DE73,F,22,2002,2023,22
DE73,M,22,2002,2023,22
DE73,T,22,2002,2023,22
DE80,F,22,2002,2023,22
DE80,M,22,2002,2023,22
DE80,T,22,2002,2023,22
DE91,F,22,2002,2023,22
DE91,M,22,2002,2023,22
DE91,T,22,2002,2023,22
DE92,F,22,2002,2023,22
DE92,M,22,2002,2023,22
DE92,T,22,2002,2023,22
DE93,F,22,2002,2023,22
DE93,M,22,2002,2023,22
DE93,T,22,2002,2023,22
DE94,F,22,2002,2023,22
DE94,M,22,2002,2023,22
DE94,T,22,2002,2023,22
DEA1,F,22,2002,2023,22
DEA1,M,22,2002,2023,22
DEA1,T,22,2002,2023,22
DEA2,F,22,2002,2023,22
DEA2,M,22,2002,2023,22
DEA2,T,22,2002,2023,22
DEA3,F,22,2002,2023,22
DEA3,M,22,2002,2023,22
DEA3,T,22,2002,2023,22
DEA4,F,22,2002,2023,22
DEA4,M,22,2002,2023,22
DEA4,T,22,2002,2023,22
DEA5,F,22,2002,2023,22
DEA5,M,22,2002,2023,22
DEA5,T,22,2002,2023,22
DEB1,F,22,2002,2023,22
DEB1,M,22,2002,2023,22
DEB1,T,22,2002,2023,22
DEB2,F,22,2002,2023,22
DEB2,M,22,2002,2023,22
DEB2,T,22,2002,2023,22
DEB3,F,22,2002,2023,22
DEB3,M,22,2002,2023,22
DEB3,T,22,2002,2023,22
DEC0,F,22,2002,2023,22
DEC0,M,22,2002,2023,22
DEC0,T,22,2002,2023,22
DED2,F,21,2002,2023,21
DED2,M,21,2002,2023,21
DED2,T,21,2002,2023,21
DED4,F,13,2011,2023,13
