year,sigma
1995,0.0439650120559477
1996,0.0425349674185275
1997,0.0398259154507356
1998,0.0390356287380527
1999,0.0379167509993675
2000,0.0373356352356305
2001,0.0362560288467668
2002,0.0342436838081702
2003,0.0333107414789393
2004,0.0380351854010832
2005,0.0380432610561684
2006,0.0388760901932473
2007,0.0383063096065199
2008,0.0366115098050437
2009,0.036140600902092
2010,0.0360274652755033
2011,0.034329233161845
2012,0.0335208366721064
2013,0.0330051941004266
2014,0.0338224968572246
2015,0.032586678679672
2016,0.0323981200306016
2017,0.0326944758927954
2018,0.0331948328334044
2019,0.0330217534307213
2020,0.0363728719475342
2021,0.0458201209564725
2022,0.0340280242183092
