term,estimate,std.error,statistic,p.value,year_rel,ci_lo,ci_hi
post_year::-24:border,-0.3075425178234913,0.151577804082673,-2.028941636176182,0.043636825665522,-24,-0.6046350138255303,-0.010450021821452216
post_year::-23:border,-0.1590777843727543,0.14359211781221776,-1.1078448232150728,0.26910648600514064,-23,-0.4405183352847011,0.12236276653919251
post_year::-22:border,-0.10863186197269403,0.12156492349355937,-0.893611897665937,0.3724801770492865,-22,-0.3468991120200704,0.1296353880746823
post_year::-21:border,-0.03310921388906668,0.1314969139595516,-0.2517870031478538,0.8014345167254271,-21,-0.2908431652497878,0.22462473747165446
post_year::-20:border,-0.008791577854309174,0.125383947451608,-0.07011725211237498,0.9441623388374631,-20,-0.2545441148594608,0.2369609591508425
post_year::-19:border,-0.029313024448085784,0.11330225880180426,-0.25871526974022685,0.7960904109379374,-19,-0.2513854516996221,0.19275940280345058
post_year::-18:border,-0.0630195714352314,0.1019417261084666,-0.618192116623356,0.5370711976208069,-18,-0.2628253546078259,0.1367862117373631
post_year::-17:border,-0.11084891662146257,0.10256254223904578,-1.0807933793519224,0.2809410023788913,-17,-0.31187149940999226,0.09017366616706715
post_year::-16:border,-0.08922228222058354,0.10019435155979861,-0.8904921368479873,0.37414867153875553,-16,-0.2856032112777888,0.10715864683662174
post_year::-15:border,-0.10939908799571943,0.10121040686809199,-1.0809075013234537,0.28089034028322934,-15,-0.3077714854571797,0.08897330946574086
post_year::-14:border,-0.13107257328697186,0.10572142062019231,-1.2397920167744851,0.21633810935252293,-14,-0.3382865577025488,0.07614141112860506
post_year::-13:border,-0.11784444159010793,0.1081055008674522,-1.090087374319616,0.276835567834762,-13,-0.32973122329031423,0.09404234011009838
post_year::-12:border,-0.07791469429816794,0.11018262092329023,-0.7071414134576868,0.480207104809635,-12,-0.2938726313078168,0.1380432427114809
post_year::-11:border,-0.06169632363654021,0.09140088361631962,-0.6750079561104411,0.5003606917802268,-11,-0.24084205552452667,0.11744940825144626
post_year::-10:border,-0.058298687720589826,0.08362584202167625,-0.6971372282921648,0.48643340955873615,-10,-0.22220533808307527,0.10560796264189562
post_year::-9:border,-0.10054379918949835,0.07883826296006266,-1.2753172814123408,0.20350635545445667,-9,-0.25506679459122117,0.05397919621222447
post_year::-8:border,0.006195338447122084,0.06235857432023517,0.09935022592573473,0.920948269416348,-8,-0.11602746722053885,0.12841814411478303
post_year::-7:border,0.020383218760139182,0.06636882336238405,0.3071203876682227,0.759034543090359,-7,-0.10969967503013356,0.15046611255041192
post_year::-6:border,-0.022253117770601183,0.05326881589702131,-0.41775131276844346,0.6765255708030827,-6,-0.12665999692876295,0.08215376138756059
post_year::-5:border,-9.064540290497913e-4,0.05224258777831215,-0.017350863875584936,0.986172016122379,-5,-0.10330192607454161,0.10148901801644203
post_year::-4:border,-0.02907647907648661,0.04522829693498007,-0.6428824662199151,0.5209520657614947,-4,-0.11772394106904754,0.05957098291607432
post_year::-3:border,0.0333190554126048,0.04680176987460155,0.7119187052514958,0.47724936102147175,-3,-0.058412413541614236,0.12505052436682385
post_year::-2:border,-0.0025808068226102765,0.03955772779778448,-0.06524153348248735,0.9480393657885848,-2,-0.08011395330626785,0.074952339661047293
post_year::0:border,-0.003287406410002275,0.03514110913866954,-0.09354873794762467,0.9255505122523985,0,-0.07216398032179457,0.06558916750179002
post_year::1:border,-0.1522919379949533,0.10206207398741277,-1.4921501400582486,0.137054374131413,1,-0.3523336030102823,0.04774972702037572
post_year::2:border,-0.2636824733365473,0.15805344236329613,-1.6683121189506014,0.09663861416218207,2,-0.5734672203686078,0.04610227369551312
post_year::3:border,0.11192940785157085,0.06422163077675482,1.7428615016123818,0.08271792452481654,3,-0.013944988470868586,0.23780380417401029
post_year::4:border,0.18953784481594638,0.07177434880940285,2.6407462827599466,0.008849377467153315,4,0.048860121149516794,0.330215568482376
