term,estimate,std.error,statistic,p.value,year_rel,ci_lo,ci_hi
post_year::-24:border,-0.331846731822251,0.16794746491220808,-1.975896045800505,0.049316773039866944,-24,-0.6610237630501788,-0.0026697005943231433
post_year::-23:border,-0.2669264301412124,0.16569108351283793,-1.610988500298694,0.10850206930781009,-23,-0.5916809538263748,0.05782809354394991
post_year::-22:border,-0.21395232158677896,0.136110451704175,-1.5719022228490356,0.11729610960558473,-22,-0.48072880692696196,0.05282416375340404
post_year::-21:border,-0.1943861996247282,0.13422431130996185,-1.4482190128421337,0.14886639893435902,-21,-0.4574658497922534,0.06869345054279702
post_year::-20:border,-0.22017242822004984,0.14275920416810917,-1.5422643289660054,0.12433235791498849,-20,-0.4999804683895438,0.05963561194944411
post_year::-19:border,-0.13053824939965308,0.12743702719099376,-1.024335330767026,0.30671257169576044,-19,-0.38031482269400085,0.11923832389469469
post_year::-18:border,-0.126881568727923,0.1311349644806206,-0.9675647469800004,0.3342398706802281,-18,-0.38390609910993934,0.13014296165409334
post_year::-17:border,-0.18247503982002633,0.12474044384910304,-1.4628378270063245,0.14482554851824767,-17,-0.4269663097642683,0.06201623012421564
post_year::-16:border,-0.1303034228978081,0.1413470955693948,-0.921868414578319,0.357526858737754,-16,-0.40734373021382186,0.14673688441820565
post_year::-15:border,-0.185407873425127,0.12154253784952843,-1.5254566566206216,0.12846742855663157,-15,-0.4236312476102027,0.05281550075994873
post_year::-14:border,-0.2104853435858156,0.12470577186845416,-1.6878556656370804,0.09274340162270671,-14,-0.4549086564479857,0.033937969276354535
post_year::-13:border,-0.19973922110545617,0.11634234915552055,-1.7168230017296187,0.08730706261311466,-13,-0.42777022545027643,0.0282917832393641
post_year::-12:border,-0.1313446774367386,0.11889701017194787,-1.1046928534770473,0.27040358632334505,-12,-0.36438281737375644,0.10169346250027922
post_year::-11:border,-0.1673463389918481,0.10192993256209046,-1.6417781782589655,0.10195113787567381,-11,-0.3671290068135454,0.032436328829849204
post_year::-10:border,-0.12966472610946672,0.08734385022143422,-1.4845318334460935,0.13898555808078183,-10,-0.30085867254347776,0.04152922032454434
post_year::-9:border,-0.12505023003528754,0.07526830849187666,-1.6613928563146014,0.09794570759389884,-9,-0.27257611467936577,0.022475654608790696
post_year::-8:border,-0.029145772617474475,0.06913016710695162,-0.42160714832907764,0.6736907373962668,-8,-0.16464090014709964,0.1063493549121507
post_year::-7:border,-0.031154783063165437,0.06281454451655559,-0.4959804023565623,0.6203640279782349,-7,-0.15427129031561437,0.09196172418928351
post_year::-6:border,-0.06154016433891385,0.049891457560156165,-1.233480987495953,0.21860807071991153,-6,-0.15932742115681992,0.03624709247899223
post_year::-5:border,-0.029139722549939018,0.052398278155790075,-0.556119849268731,0.5786491922052615,-5,-0.13184034773528758,0.07356090263540953
post_year::-4:border,-0.00767363805127852,0.0503724707788143,-0.15233793245865368,0.8790489316894263,-4,-0.10640368077775454,0.0910564046751975
post_year::-3:border,0.017050988786695503,0.03967998541561379,0.4297125769604256,0.6677918917645538,-3,-0.06072178262790752,0.09482376020129853
post_year::-2:border,0.0325988207260661,0.03652294203583187,0.8925573600857264,0.3729920494955161,-2,-0.03898614566416436,0.10418378711629656
post_year::-1:border,-0.006728153487862265,0.03442109491787944,-0.19546599269761877,0.8451942337701139,-1,-0.07419349952690596,0.06073719255118143
post_year::1:border,-0.10571832924198732,0.16316063076649126,-0.6479401847452221,0.5176455970406331,1,-0.4255131655443102,0.21407650706033554
post_year::2:border,-0.14170974835582884,0.13948755622985948,-1.0159311137568963,0.31068953139590544,2,-0.4151053585663534,0.13168586185469572
post_year::3:border,0.06286243165699307,0.043321444085341304,1.451069625776022,0.1480717238362915,3,-0.022047598750275885,0.14777246206426203
post_year::4:border,0.1833587934093036,0.06711030773226791,2.7322001582946287,0.006761009502081706,4,0.051822590254058526,0.31489499656454867
