term,estimate,std.error,statistic,p.value,year_rel,ci_lo,ci_hi
post_year::-24:border,-0.06720925560539959,0.15135043346281213,-0.4440638461859006,0.6573982178438547,-24,-0.3638561051925114,0.2294375939817122
post_year::-23:border,-0.043796391136949775,0.13553404842392314,-0.3231394003664932,0.7468722149992895,-23,-0.30944312604783913,0.22185034377393958
post_year::-22:border,-0.014434648682379342,0.10758017337315026,-0.13417573359276558,0.8933765325678159,-22,-0.22529178849375386,0.19642249112899518
post_year::-21:border,-0.022438570759909654,0.10015600656397032,-0.22403619642700098,0.822920534483196,-21,-0.21874434362529147,0.17386720210547216
post_year::-20:border,-0.05114744795502876,0.09502968339245138,-0.538226016641571,0.5909219012098795,-20,-0.23740562740423346,0.13511073149417593
post_year::-19:border,0.030070140706603937,0.08880176138801471,0.338620993959951,0.7351925626396989,-19,-0.1439813116139049,0.20412159302711277
post_year::-18:border,0.04880651998766383,0.09857370210877398,0.4951271885254637,0.6209652327338194,-18,-0.14439793614553315,0.2420109761208608
post_year::-17:border,-0.0489732671733365,0.07505411675586236,-0.6525060754846771,0.5147018486636359,-17,-0.19607933601482672,0.09813280166815372
post_year::-16:border,-0.025411441787424077,0.08989405230886034,-0.2826821256217795,0.7776651850434821,-16,-0.20160378431279036,0.1507809007379422
post_year::-15:border,-0.04337674475803743,0.07346172295002688,-0.5904672939340795,0.5554353126704354,-15,-0.1873617217400901,0.10060823222401524
post_year::-14:border,-0.07230488734394389,0.06411502243883448,-1.1277370668149187,0.26056183745840056,-14,-0.19797033132405945,0.053360556636171674
post_year::-13:border,-0.04049296698862398,0.07140341108826254,-0.5671012963032002,0.5711776027976827,-13,-0.18044365272161855,0.0994577187443706
post_year::-12:border,0.00215757262357108,0.05743271120751103,0.037566964508701686,0.9700643070743775,-12,-0.11041054134315054,0.1147256865902927
post_year::-11:border,-0.07062707866809495,0.05970202251034509,-1.1829930662040264,0.23798733275916753,-11,-0.18764304278837135,0.046388885452181436
post_year::-10:border,-0.05379642148339059,0.05288791370485057,-1.0171779848153983,0.31009734574652303,-10,-0.1574567323448977,0.04986388937811652
post_year::-9:border,-0.049930895233968126,0.0525158746070429,-0.9507771813300792,0.34267797671490263,-9,-0.1528620094637722,0.05300021899583596
post_year::-8:border,0.002714190642166131,0.051840401345124756,0.052356667227488246,0.9582882352516093,-8,-0.0988929959942784,0.10432137727861066
post_year::-7:border,-0.017380161804966848,0.04103146682476248,-0.42358129382003773,0.6722521450920254,-7,-0.09780183678150131,0.06304151317156761
post_year::-6:border,-0.028971767022281047,0.04002275130559642,-0.7238824437896627,0.4698458488377034,-6,-0.10741635958125002,0.04947282553668793
post_year::-5:border,0.028478481158357355,0.03581491195242085,0.7951570897672526,0.4273110808037913,-5,-0.04171874626838751,0.09867570858510222
post_year::-4:border,0.008415374429791206,0.03720776727502169,0.2261725184311345,0.8212605490827456,-4,-0.0645118494292513,0.08134259828883371
post_year::-3:border,0.04417467501153005,0.030174753662353226,1.4639614131015584,0.14451850707600264,-3,-0.014967842166682274,0.10331719218974238
post_year::-2:border,0.042199682688853296,0.025907093571889753,1.6288852538303125,0.10465467229403996,-2,-0.008578220712050617,0.0929775860897572
post_year::-1:border,0.023652738482150992,0.0290552189290954,0.8140616162580535,0.4164199821965624,-1,-0.03329549061887599,0.08060096758317797
post_year::1:border,-0.07499838759767036,0.16716368668161702,-0.44865239027967624,0.6540889340746788,1,-0.4026392134936397,0.25264243829829897
post_year::2:border,0.0990697749030857,0.061312686825616594,1.6158119963794197,0.10745420569881087,2,-0.021103091275122818,0.2192426410812942
post_year::3:border,0.05233485928409219,0.037692012103177214,1.3884867472936175,0.16628157733401996,3,-0.021541484438135153,0.12621120300631955
post_year::4:border,0.12633084124324606,0.05035078177082741,2.509014493920738,0.012769849603291902,4,0.027643308972424327,0.22501837351406778
