year,sex,sd_yrs
1996,T,3.15439282525509
1997,T,2.98534305514455
1998,T,2.93435074653963
1999,T,2.85918534137375
2000,T,2.83032917967259
2001,T,2.75697182674017
2002,T,2.60969231090318
2003,T,2.53825099034568
2004,T,2.90639394413027
2005,T,2.90898855209036
2006,T,2.9879594186016
2007,T,2.95315462213245
2008,T,2.83521768130833
2009,T,2.81032288862704
2010,T,2.81226221256571
2011,T,2.6929384353097
2012,T,2.62985224023807
2013,T,2.60491473663227
2014,T,2.67405968360457
2015,T,2.57073543783837
2016,T,2.56844122383733
2017,T,2.58998659878347
2018,T,2.63560179835767
2019,T,2.63190557057324
2020,T,2.8506989148036
2021,T,3.56293098754676
2022,T,2.663574050663
2023,T,2.48966123674287
1995,T,3.25371900037091
